BRANCHE;ENERGIE;USAGE;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
Sport Loisir Culture;Autres comb.;Cuisson;89;92;93;94;96;98;99;100;103;107;106;106;105;101;99;100;98;97;95;94;92
Sport Loisir Culture;Autres comb.;ECS;153;163;181;171;179;162;171;176;189;200;203;206;212;210;214;217;221;227;234;238;241
Sport Loisir Culture;Autres comb.;Electricité spécifique;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Transport;Electricité;Autres usages thermiques;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Transport;Electricité;Chauffage;290;290;304;332;352;343;329;328;330;328;325;333;345;347;344;336;336;332;325;320;329
Transport;Electricité;Climatisation;79;84;90;114;123;129;131;126;126;132;145;154;158;165;165;167;171;173;175;178;178
Transport;Electricité;Cuisson;71;74;77;79;80;83;84;84;87;87;86;86;87;86;86;86;86;87;87;87;88
Transport;Electricité;ECS;98;100;102;105;108;111;113;113;119;119;118;119;120;120;120;120;120;121;122;122;123
Transport;Electricité;Electricité spécifique;2108;2147;2134;2201;2285;2386;2375;2388;2415;2442;2455;2472;2478;2488;2488;2447;2462;2426;2391;2348;2358
Transport;Fioul;Autres usages thermiques;1136;1151;1195;1195;1195;1195;1195;1195;1195;1195;1195;1195;1195;1195;1195;1195;1195;1195;1195;1195;1195
Transport;Fioul;Chauffage;1316;1307;1385;1426;1493;1453;1482;1481;1509;1454;1433;1413;1387;1325;1276;1234;1183;1120;1054;1064;1046
Transport;Fioul;Climatisation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Transport;Fioul;Cuisson;2;2;2;2;2;3;3;3;2;2;2;2;2;2;2;2;2;1,9;1,9;1,9;1,9
Transport;Fioul;ECS;225;229;232;231;235;218;213;209;199;200;199;197;196;195;194;193;193;191;190;189;188
Transport;Fioul;Electricité spécifique;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Transport;Gaz;Autres usages thermiques;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Transport;Gaz;Chauffage;1522;1482;1590;1694;1740;1788;1795;1845;1811;1791;1771;1781;1804;1791;1774;1768;1772;1754;1694;1675;1688
Transport;Gaz;Climatisation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Transport;Gaz;Cuisson;93;96;98;99;100;106;107;107;97;98;99;100;101;100;100;100;101;100;99;99;98
Transport;Gaz;ECS;138;137;140;142;145;150;147;150;143;146;149;151;153;154;154;155;155;155;155;155;155
Transport;Gaz;Electricité spécifique;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Transport;Autres comb.;Autres usages thermiques;182;186;188;188;188;188;188;188;188;188;188;188;188;188;188;188;188;188;188;188;188
Transport;Autres comb.;Chauffage;381;374;382;380;387;389;386;399;392;389;386;390;389;387;383;373;370;340;337;339;337
Transport;Autres comb.;Climatisation;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4,1;4,1;4,1;4,1;4,1;4,1;4,1
Transport;Autres comb.;Cuisson;23;24;24;25;27;28;26;26;23;23;24;24;24;24;24;24;24;22;22;22;22
Transport;Autres comb.;ECS;33;35;36;37;37;43;48;49;46;46;46;47;47;47;47;47;48;44;44;44;44
Transport;Autres comb.;Electricité spécifique;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
