ID_AGREG;EXIGENCE;GESTE;GAIN;COUT;CEE
0102851904;BBC renovation;FENBBC;0.124609553;50.83499308;631.9262224
0102851904;BBC renovation;FEN_MURBBC;0.192166458;78.23569556;631.9262224
0102852005;BBC renovation;ENSBBC;0.380351815;159.5413975;631.9262224
0102852005;BBC renovation;FENBBC;0.124609553;50.83499308;631.9262224
0102852005;BBC renovation;FEN_MURBBC;0.192166458;78.23569556;631.9262224
0102852106;BBC renovation;ENSBBC;0.380351815;159.5413975;631.9262224
0102852106;BBC renovation;FENBBC;0.124609553;50.83499308;631.9262224
0102852106;BBC renovation;FEN_MURBBC;0.192166458;78.23569556;631.9262224
0102852207;BBC renovation;ENSBBC;0.380351815;159.5413975;631.9262224
0102852207;BBC renovation;FENBBC;0.124609553;50.83499308;631.9262224
0102852207;BBC renovation;FEN_MURBBC;0.192166458;78.23569556;631.9262224
0102852308;BBC renovation;ENSBBC;0.380351815;159.5413975;631.9262224
0102852308;BBC renovation;FENBBC;0.124609553;50.83499308;631.9262224
0102852308;BBC renovation;FEN_MURBBC;0.192166458;78.23569556;631.9262224
0204160701;BBC renovation;FENBBC;0.136372769;141.75;354.88125
0204160701;RT par element;FENMOD;0.069151737;141.75;354.88125
0204160701;BBC renovation;FEN_MURBBC;0.190921877;150.525;700.14375
0204160701;RT par element;FEN_MURMOD;0.096812431;141.75;354.88125
0204160701;BBC renovation;ENSBBC;0.902703911;276.525;3872.64375
0204160701;RT par element;ENSMOD;0.411967792;186.75;354.88125
0204161102;BBC renovation;FENBBC;0.120440132;141.75;354.88125
0204161102;RT par element;FENMOD;0.061180811;141.75;354.88125
0204161102;BBC renovation;FEN_MURBBC;0.21815571;150.525;700.14375
0204161102;RT par element;FEN_MURMOD;0.110818073;141.75;354.88125
0204161102;BBC renovation;ENSBBC;0.902535443;276.525;3872.64375
0204161102;RT par element;ENSMOD;0.412620484;186.75;354.88125
0204161703;BBC renovation;FENBBC;0.136388938;141.75;354.88125
0204161703;RT par element;FENMOD;0.069256547;141.75;354.88125
0204161703;BBC renovation;FEN_MURBBC;0.190944514;150.525;700.14375
0204161703;RT par element;FEN_MURMOD;0.096959166;141.75;354.88125
0204161703;BBC renovation;ENSBBC;0.902810939;276.525;3872.64375
0204161703;RT par element;ENSMOD;0.412592197;186.75;354.88125
