BRANCHE;SS_BRANCHE;BAT_TYPE;PRODUCTION_CHAUD;ENERGIE;ID_AGREG;PERIODE;RDT;COUT;CEE
Café Hôtel Restaurant;Hôtel avec restaurant;Grand Hotel avec restaurant Haut de gamme;Autre système centralisé performant;Autres;0218212101;1;0.830475117;22.34226983;128.8
Café Hôtel Restaurant;Hôtel avec restaurant;Grand Hotel avec restaurant Haut de gamme;Autre système centralisé performant;Urbain;0218212106;1;0.746398835;22.45641669;2011.428571
Café Hôtel Restaurant;Hôtel avec restaurant;Grand Hotel avec restaurant Haut de gamme;Chaudière condensation fioul;Fioul;0218212303;1;0.758352405;13.30244593;1048
Café Hôtel Restaurant;Hôtel avec restaurant;Grand Hotel avec restaurant Haut de gamme;Chaudière condensation gaz;Gaz;0218212404;1;0.98229892;9.751625505;1043
Café Hôtel Restaurant;Hôtel avec restaurant;Grand Hotel avec restaurant Haut de gamme;Electrique direct performant;Electricité;0218212602;1;1;12;1312.5
Café Hôtel Restaurant;Hôtel avec restaurant;Grand Hotel avec restaurant Haut de gamme;PAC performant;Electricité;0218212902;1;3.397956279;60.76047678;1312.5
Café Hôtel Restaurant;Hôtel avec restaurant;Grand Hotel avec restaurant Haut de gamme;Rooftop performant;Electricité;0218213002;1;3.328610233;26.95172643;1312.5
Café Hôtel Restaurant;Hôtel avec restaurant;Grand Hotel avec restaurant Luxe;Autre système centralisé;Autres;0218220101;1;0.70865523;24.43591313;120
Café Hôtel Restaurant;Hôtel avec restaurant;Grand Hotel avec restaurant Luxe;Autre système centralisé;Urbain;0218220106;1;0.683855647;24.55215641;2117.5
Café Hôtel Restaurant;Hôtel avec restaurant;Grand Hotel avec restaurant Luxe;Chaudière fioul;Fioul;0218220303;1;0.574753395;11.04275017;1043
Café Hôtel Restaurant;Hôtel avec restaurant;Grand Hotel avec restaurant Luxe;Chaudière gaz;Gaz;0218220404;1;0.690457969;8.218995307;1043
Café Hôtel Restaurant;Hôtel avec restaurant;Grand Hotel avec restaurant Luxe;Electrique direct;Electricité;0218220602;1;0.92;10.4;1312.5
Café Hôtel Restaurant;Hôtel avec restaurant;Grand Hotel avec restaurant Luxe;PAC;Electricité;0218220902;1;2.944895442;67.90804107;1312.5
Café Hôtel Restaurant;Hôtel avec restaurant;Grand Hotel avec restaurant Luxe;Rooftop;Electricité;0218221002;1;2.804101953;28.38442254;1312.5
Café Hôtel Restaurant;Hôtel avec restaurant;Grand Hotel avec restaurant Luxe;Autre système centralisé performant;Autres;0218222101;1;0.817679111;29.09037277;120
Café Hôtel Restaurant;Hôtel avec restaurant;Grand Hotel avec restaurant Luxe;Autre système centralisé performant;Urbain;0218222106;1;0.789064208;29.22875763;2117.5
Café Hôtel Restaurant;Hôtel avec restaurant;Grand Hotel avec restaurant Luxe;Chaudière condensation fioul;Fioul;0218222303;1;0.76249866;13.14613116;1043
Café Hôtel Restaurant;Hôtel avec restaurant;Grand Hotel avec restaurant Luxe;Chaudière condensation gaz;Gaz;0218222404;1;0.99009464;9.784518223;1043
