BRANCHE;BAT_TYPE;PRODUCTION_CHAUD;ENERGIE;COUT;DUREE_VIE;BESOIN_U;RDT;PM_2009;COUT_ENERGIE
Santé Action Sociale;Centre accueil;Electrique direct;Electricité;10;13;84.5692177;0.9;0.151345669;0.0774
Commerce;Petit boulangerie;Autre système centralisé performant;Autres;61.37493043;25;130.839361;1.871489795;9.994E-05;0.015468227
Commerce;Petit boulangerie;Autre système centralisé performant;Urbain;60.71266967;25;143.8022984;1.960650063;9.994E-05;0.0616
Commerce;Petit boulangerie;Chaudière condensation fioul;Fioul;41.52871097;20;133.0528565;0.751617554;9.994E-05;0.074414716
Commerce;Petit boulangerie;Chaudière condensation gaz;Gaz;30.94426089;20;146.5961653;0.984949197;9.994E-05;0.0513
Enseignement Recherche;université;Autre système centralisé;Urbain;17.93237584;25;76.43896991;0.754987884;0.097477195;0.0616
Commerce;Supermarché;Electrique direct;Electricité;10;13;102.806313;0.9;0.145661997;0.0774
Café Hôtel Restaurant;Petit Hotel sans restaurant Bas de gamme;Autre système centralisé;Urbain;44.49925448;25;196.8638308;0.643333333;0.099612633;0.0616
Commerce;Petit boulangerie;Electrique direct performant;Electricité;12;13;125.4042909;1;9.994E-05;0.0774
Café Hôtel Restaurant;Petit Hotel sans restaurant Haut de gamme;PAC;Electricité;104.872357;20;151.9373017;2.831630233;0.125176097;0.0774
Commerce;Petit boulangerie;PAC performant;Electricité;149.7215367;20;119.2556171;3.397956279;9.994E-05;0.0774
Sport Loisir Culture;Petit cinéma;Cassette rayonnante;Electricité;10;10;126.3745098;0.8;0.148562225;0.0774
Bureaux Administration;immeuble résidentiel;Autre système centralisé;Urbain;24.58520797;25;182.5358396;0.652030365;0.1008308;0.0616
Commerce;Petit brico;Autre système centralisé performant;Autres;40.86074008;25;81.92237577;1.871033896;9.994E-05;0.015468227
Commerce;Petit brico;Autre système centralisé performant;Urbain;40.62546391;25;90.86732922;1.891943627;9.994E-05;0.0616
Commerce;Petit brico;Chaudière condensation fioul;Fioul;30.88861538;20;85.65777149;0.749223878;9.994E-05;0.074414716
Commerce;Petit brico;Chaudière condensation gaz;Gaz;30.88861538;20;91.73773485;0.976994424;9.994E-05;0.0513
Bureaux Administration;immeuble résidentiel;Chaudière fioul;Fioul;26.40682465;20;166.6586514;0.500037634;0.033640027;0.074414716
Café Hôtel Restaurant;Petit Hotel sans restaurant Luxe;PAC;Electricité;100.5961836;20;140.5411836;2.84935814;0.13660489;0.0774
Café Hôtel Restaurant;Petit bar café tabac;Autre système centralisé;Urbain;36.98891064;25;183.5009359;0.690991691;0.101183535;0.0616
Commerce;Petit brico;Electrique direct performant;Electricité;12;13;83.32914275;1;9.994E-05;0.0774
