SCENARIO;BRANCHE;SS_BRANCHE;BAT_TYPE;PERIODE_DETAIL;PERIODE_SIMPLE;ENERGIE;BESOIN;SURFACE_CHAUFFEE;ETABLISSEMENTS;COUT_PLAN_MIN;COUT_PLAN_MAX;COUT_FEN_MIN;COUT_FEN_MAX;COUT_MUR_MIN;COUT_MUR_MAX;COUT_TOIT_MIN;COUT_TOIT_MAX
BBC renovation;Santé Action Sociale;Hôpital;Hopital maison;1979-1999;1981-1998;Electricité;45749331,5267571;1982477,96659438;978273,593017859;19843736,9799033;25513376,1170185;62169593,1275794;87037430,3786111;36058364,1725942;49170496,5989922;39687473,9598066;45357113,0969219
Maximal;Café Hôtel Restaurant;Café, cantine, traiteur;Grande cantine;Av 1980;Av 1980;Gaz;2769526,71002682;109825;82613,375;4393000;6589500;13640265;18187020;711666;889582,5;0;0
Maximal;Bureaux Administration;Administration;immeuble rénové;1999-2008;1999-2008;Electricité;4351930,05426522;804928,337089691;502107,02089391;0;0;50710485,2366505;72443550,3380722;24147850,1126907;30909248,1442441;15626403,8126808;17579704,2892659
Maximal;Bureaux Administration;Bureaux;immeuble rénové;1999-2008;1999-2008;Autres;1126654,30190901;196230,142066341;139042,279914555;0;0;12362498,9501795;17660712,7859707;5886904,26199024;7535237,45534751;3962348,93051561;4457642,54683007
Modeste bati;Bureaux Administration;Bureaux;immeuble résidentiel;1981-1998;1981-1998;Fioul;50505358,961148;316260,759810394;437994,194882421;0;0;0;0;0;0;0;0
Modeste bati;Bureaux Administration;Bureaux;immeuble résidentiel;1999-2008;1999-2008;Gaz;84872053,1872493;522856,678842729;769761,928505466;0;0;0;0;0;0;0;0
BBC renovation;Enseignement Recherche;Enseignement secondaire;Lycée professionnel (LP);1981-1999;1981-1998;Electricité;4705970,24078849;511284,008160628;350064,912865457;0;0;22338531,8925287;27302650,0908684;10921060,0363473;14892354,5950191;15456552,4264408;17664631,3445038
Modeste bati;Commerce;Commerce de détail non alimentaire;Petit librairie;1999-2008;1999-2008;Electricité;16592777,3171194;589642,908389586;263166,806695344;23585716,3355834;29482145,4194793;119034162,131147;144093985,737705;0;0;0;0
BBC renovation;Commerce;Commerce de détail non alimentaire;Petit librairie;1999-2008;1999-2008;Gaz;8545815,46369476;588928,054985868;516749,487715656;26501762,474364;32391043,0242227;118889851,100272;143919293,437171;1104240,1030985;1766784,1649576;0;0
Maximal;Commerce;Commerce de détail non alimentaire;Petit librairie;1981-1998;1981-1998;Autres;470824,563520698;57773,6020104984;42955,0220735729;2599812,09047242;3177548,11057741;14118423,9913155;17187646,5981232;129990,604523621;194985,906785432;0;0
BBC renovation;Commerce;Petit commerce alimentaire;Petit librairie;1999-2008;1999-2008;Urbain;78290,486325926;5688,2;4863,2347529486;255968,999999999;312850,999999999;1148305,37499999;1390053,87499999;10665,3749999999;17064,5999999999;0;0
Maximal;Commerce;Petit commerce alimentaire;Petit poissonnerie;Av 1980;Av 1980;Electricité;18929323,6980602;473953,699999999;436417,786317571;21327916,4999999;26067453,4999999;115822435,437499;141001225,749999;1066395,82499999;1599593,73749999;0;0
BBC renovation;Commerce;Petit commerce alimentaire;Petit poissonnerie;1999-2008;1999-2008;Electricité;7995912,35685603;198907,099999999;88370,06448336;8950819,49999999;10939890,4999999;40154370,8124999;48607922,5624999;372950,812499999;596721,299999999;0;0
Modeste bati;Commerce;Commerce de détail non alimentaire;ZAC Mode;1999-2008;1999-2008;Fioul;20372661,5434192;276274,21588726;284071,680358457;0;0;0;0;0;0;24864679,4298534;27627421,588726
BBC renovation;Commerce;Commerce de détail non alimentaire;ZAC Mode;1999-2008;1999-2008;Fioul;12389555,724721;276274,21588726;284071,680358457;0;0;7873815,15278693;9531460,4481105;7961301,97906921;8799333,76633966;30390163,7475987;33152905,9064713
BBC renovation;Commerce;Grand commerce alimentaire;Superette;1999-2008;1999-2008;Autres;159971,59034275;19314,0976856;14912,1714822821;869134,395852;1062275,372708;5198711,2875912;6293176,82182092;48285,244214;77256,3907424;0;0
Maximal;Enseignement Recherche;Enseignement secondaire;Collège;avant 1960;Av 1980;Electricité;2855388,57742473;468195,534495241;252468,798391275;6994385,19512475;8992780,96516039;35229694,2688702;45457670,0243486;11364417,5060871;14546454,4077915;15987166,1602851;17985561,9303207
Maximal;Café Hôtel Restaurant;Hôtel sans restaurant;Hotel d'affaire sans restaurant Haut de Gamme;Av 1980;Av 1980;Electricité;83042,9516284433;15028,5;3568,98;0;0;11075041,413606;13482659,112216;1954419,06790612;2379292,7783205;300570;338141,25
Modeste bati;Enseignement Recherche;Enseignement secondaire;Cantine LP;2000-2007;1999-2008;Gaz;1628166,13720041;7930,8622222851;7930,8622222851;0;0;0;0;0;0;0;0
Maximal;Enseignement Recherche;Enseignement secondaire;Cantine LP;2000-2007;1999-2008;Gaz;460366,228198186;7930,8622222851;7930,8622222851;277580,177779977;356888,800002827;877806,490495147;1206983,92443082;274314,528279733;351122,596198058;634468,977782805;713777,600005655
Maximal;Café Hôtel Restaurant;Hôtel sans restaurant;Petit Hotel sans restaurant Haut de gamme;1999-2008;1999-2008;Gaz;32149,9122808799;3807,5;2092,65;47593,7499999999;52353,1249999999;1669377,22357599;1878049,37652299;435879,426924687;557925,666463599;42834,3749999999;52353,1249999999
Modeste bati;Bureaux Administration;Bureaux;plateau large bureau paysagés;1981-1998;1981-1998;Urbain;24854288,0257692;496763,93150627;254237,06321013;0;0;0;0;0;0;0;0
Modeste bati;Enseignement Recherche;Enseignement secondaire;Cantine LEGT;avant 1960;Av 1980;Electricité;2456180,30040493;10262,9896265811;5282,4424860678;0;0;638961,659230497;851948,878973996;283982,959657998;397576,143521198;615779,377594869;718409,27386068
Modeste bati;Café Hôtel Restaurant;Hôtel avec restaurant;Petit Hotel avec restaurant Luxe;1981-1998;1981-1998;Gaz;2856496,95293591;17704;12244,12;0;0;0;0;0;0;0;0
Modeste bati;Enseignement Recherche;Enseignement secondaire;Cantine LEGT;1981-1999;1981-1998;Gaz;34697194,728338;153245,178774608;206268,823184483;0;0;0;0;0;0;0;0
Modeste bati;Bureaux Administration;Bureaux;plateau large bureaux cloisonnés;1999-2008;1999-2008;Urbain;18339039,5785141;257433,70375;132500,67589823;0;0;0;0;0;0;0;0
Modeste bati;Enseignement Recherche;Enseignement secondaire;Cantine collége;2000-2007;1999-2008;Electricité;6960473,3152546;27612,6196929153;14566,9008295844;0;0;0;0;0;0;0;0
Modeste bati;Transport;Transport ferroviaire;nr;Av 1980;Av 1980;Electricité;55950694,5546896;1020159,3192614;1730769,22610973;0;0;0;0;0;0;0;0
BBC renovation;Sport Loisir Culture;Sport;Salle non spécialisée;1981-1998;1981-1998;Fioul;5630593,55679737;254976,885;382430,68335;0;0;4589583,93;6884375,895;23980576,03425;32700785,50125;17848381,95;20398150,8
Modeste bati;Sport Loisir Culture;Loisir;Vestiaire et rangement;1981-1998;1981-1998;Fioul;498837,853312793;10560,995211125;14321,59700945;0;0;0;0;1282406,56104915;1795369,18546881;0;0
