"COD_BRANCHE";"COD_BAT_TYPE";"COD_PRODUCTION_CHAUD";"COD_ENERGIE";"ANNEE";"SURFACES";"BESOIN";"CONSOMMATION_EF"
"02";"16";"21";"06";"2010";1243.925;75939.1832;94042.33
"02";"16";"23";"03";"2010";335.9789;20510.8533;27195.51
"02";"16";"24";"04";"2010";7054.1785;430643.7712;438626.8
"02";"16";"26";"02";"2010";5805.9322;354440.7812;354440.7
"02";"16";"29";"02";"2010";360.0407;21979.779;6468.446
"02";"16";"30";"02";"2010";772.181;47140.1366;14162.152
"02";"20";"01";"01";"2010";69004.223;5586080.7631;7991531.7
"02";"20";"01";"06";"2010";248640.11;21039527.0717;34260751.2866
"02";"20";"03";"03";"2010";537258.7929;39919328.7342;70616185.669
"02";"20";"04";"04";"2010";683094.5139;51192613.589600004;75172703.34079999
"02";"20";"06";"02";"2010";514143.8914;32468644.920300003;35292005.4451
"02";"20";"09";"02";"2010";209953.6897;15525730.111499999;5272073.808599999
"02";"20";"10";"02";"2010";312782.3983000001;23440202.2974;8359259.763300001
"02";"20";"21";"01";"2010";657.2517;29415.5759;36473.1242
"02";"20";"21";"06";"2010";1554.2445;69560.8654;98166.6133
"02";"20";"23";"03";"2010";432.2262;19344.4652;25662.5969
"02";"20";"24";"04";"2010";9032.4119;404249.3882;411910.8981
"02";"20";"26";"02";"2010";5890.3615;263625.6028;263625.6298
"02";"20";"29";"02";"2010";396.2295;17733.4177;5218.7809
"02";"20";"30";"02";"2010";978.6154;43798.3433;13158.1875
"02";"21";"01";"01";"2010";28314.7915;2387415.9403;3317237.8
"02";"21";"01";"06";"2010";119486.4829;9489385.9493;14669016.110000001
"02";"21";"03";"03";"2010";240033.6651;16783855.794600002;28867998.7711
"02";"21";"04";"04";"2010";492951.4907;34847703.4763;51058908.33
"02";"21";"06";"02";"2010";248668.1248;14091736.642500002;15317104.690900002
"02";"21";"09";"02";"2010";101953.0013;6959695.1088000005;2363304.3833000003
"02";"21";"10";"02";"2010";151892.6482;10507980.282;3747363.352
"02";"21";"21";"01";"2010";356.0051;19121.5929;23024.197
"02";"21";"21";"06";"2010";890.3834;47823.8904;64072.73
"02";"21";"23";"03";"2010";212.4531;11411.1896;15046.4
"02";"21";"24";"04";"2010";4723.1088;253685.5889;258256.7
"02";"21";"26";"02";"2010";3116.1179;167371.5847;167371.59
